timestamp,equipamento,potencia_dbm,snr_db,estado
2026-03-02 01:00:00,OLT-CENTRO-01,-19.98,20.5,UP
2026-03-02 01:00:00,OLT-NORTE-02,-19.86,31.8,UP
2026-03-02 01:00:00,OLT-SUL-03,-20.61,32.9,UP
2026-03-02 01:00:00,ONU-SUL-4512,-23.84,34.0,UP
2026-03-02 01:00:00,ONU-LESTE-77,-26.46,30.2,UP
2026-03-02 02:00:00,OLT-CENTRO-01,-23.55,32.6,UP
2026-03-02 02:00:00,OLT-NORTE-02,-22.84,25.5,UP
2026-03-02 02:00:00,OLT-SUL-03,-18.91,29.5,UP
2026-03-02 02:00:00,ONU-SUL-4512,-25.5,25.6,UP
2026-03-02 02:00:00,ONU-LESTE-77,-28.31,21.0,UP
2026-03-02 03:00:00,OLT-CENTRO-01,-18.52,28.6,UP
2026-03-02 03:00:00,OLT-NORTE-02,-18.89,29.5,UP
2026-03-02 03:00:00,OLT-SUL-03,-21.32,25.8,UP
2026-03-02 03:00:00,ONU-SUL-4512,-27.33,27.4,UP
2026-03-02 03:00:00,ONU-LESTE-77,-25.41,28.1,UP
2026-03-02 04:00:00,OLT-CENTRO-01,-22.4,24.0,UP
2026-03-02 04:00:00,OLT-NORTE-02,-21.64,31.3,UP
2026-03-02 04:00:00,OLT-SUL-03,-20.62,29.1,UP
2026-03-02 04:00:00,ONU-SUL-4512,-27.23,29.4,UP
2026-03-02 04:00:00,ONU-LESTE-77,-28.21,21.6,UP
2026-03-02 05:00:00,OLT-CENTRO-01,-23.8,27.7,UP
2026-03-02 05:00:00,OLT-NORTE-02,-21.32,23.2,UP
2026-03-02 05:00:00,OLT-SUL-03,-19.65,31.2,UP
2026-03-02 05:00:00,ONU-SUL-4512,-24.8,32.3,UP
2026-03-02 05:00:00,ONU-LESTE-77,-23.35,28.4,UP
2026-03-02 06:00:00,OLT-CENTRO-01,-23.56,31.4,UP
2026-03-02 06:00:00,OLT-NORTE-02,-19.24,27.2,UP
2026-03-02 06:00:00,OLT-SUL-03,-19.34,31.6,UP
2026-03-02 06:00:00,ONU-SUL-4512,-23.26,27.5,UP
2026-03-02 06:00:00,ONU-LESTE-77,-27.0,24.7,UP
2026-03-02 07:00:00,OLT-CENTRO-01,-21.29,23.7,UP
2026-03-02 07:00:00,OLT-NORTE-02,-21.33,25.0,UP
2026-03-02 07:00:00,OLT-SUL-03,-20.61,29.3,UP
